date	weekday	holiday
2019/3/15	6	no
2019/3/16	7	no
2019/3/17	1	no
2019/3/18	2	no
2019/3/19	3	no
2019/3/20	4	no
2019/3/21	5	no
2019/3/22	6	no
2019/3/23	7	no
2019/3/24	1	no
2019/3/25	2	no
2019/3/26	3	no
2019/3/27	4	no
2019/3/28	5	no
2019/3/29	6	no
2019/3/30	7	no
2019/3/31	1	no
2019/4/1	2	no
2019/4/2	3	no
2019/4/3	4	no
2019/4/4	5	no
2019/4/5	6	qingming
2019/4/6	7	qingming
2019/4/7	1	qingming
2019/4/8	2	no
2019/4/9	3	no
2019/4/10	4	no
2019/4/11	5	no
2019/4/12	6	no
2019/4/13	7	no
2019/4/14	1	no
2019/4/15	2	no
2019/4/16	3	no
2019/4/17	4	no
2019/4/18	5	no
2019/4/19	6	no
2019/4/20	7	no
2019/4/21	1	no
2019/4/22	2	no
2019/4/23	3	no
2019/4/24	4	no
2019/4/25	5	no
2019/4/26	6	no
2019/4/27	7	no
2019/4/28	1	no
2019/4/29	2	no
2019/4/30	3	no
2019/5/1	4	laodong
2019/5/2	5	laodong
2019/5/3	6	laodong
2019/5/4	7	laodong
2019/5/5	1	no
2019/5/6	2	no
2019/5/7	3	no
2019/5/8	4	no
2019/5/9	5	no
2019/5/10	6	no
2019/5/11	7	no
2019/5/12	1	no
2019/5/13	2	no
2019/5/14	3	no
2019/5/15	4	no
2019/5/16	5	no
2019/5/17	6	no
2019/5/18	7	no
2019/5/19	1	no
2019/5/20	2	no
2019/5/21	3	no
2019/5/22	4	no
2019/5/23	5	no
2019/5/24	6	no
2019/5/25	7	no
2019/5/26	1	no
2019/5/27	2	no
2019/5/28	3	no
2019/5/29	4	no
2019/5/30	5	no
2019/5/31	6	no
2019/6/1	7	no
2019/6/2	1	no
2019/6/3	2	no
2019/6/4	3	no
2019/6/5	4	no
2019/6/6	5	no
2019/6/7	6	duanwu
2019/6/8	7	duanwu
2019/6/9	1	duanwu
2019/6/10	2	no
2019/6/11	3	no
2019/6/12	4	no
2019/6/13	5	no
2019/6/14	6	no
2019/6/15	7	no
2019/6/16	1	no
2019/6/17	2	no
2019/6/18	3	no
2019/6/19	4	no
2019/6/20	5	no
2019/6/21	6	no
2019/6/22	7	no
2019/6/23	1	no
2019/6/24	2	no
2019/6/25	3	no
2019/6/26	4	no
2019/6/27	5	no
2019/6/28	6	no
2019/6/29	7	no
2019/6/30	1	no
2019/7/1	2	no
2019/7/2	3	no
2019/7/3	4	no
2019/7/4	5	no
2019/7/5	6	no
2019/7/6	7	no
2019/7/7	1	no
2019/7/8	2	no
2019/7/9	3	no
2019/7/10	4	no
2019/7/11	5	no
2019/7/12	6	no
2019/7/13	7	no
2019/7/14	1	no
2019/7/15	2	no
2019/7/16	3	no
2019/7/17	4	no
2019/7/18	5	no
2019/7/19	6	no
2019/7/20	7	no
2019/7/21	1	no
2019/7/22	2	no
2019/7/23	3	no
2019/7/24	4	no
2019/7/25	5	no
2019/7/26	6	no
2019/7/27	7	no
2019/7/28	1	no
2019/7/29	2	no
2019/7/30	3	no
2019/7/31	4	no
2019/8/1	5	no
2019/8/2	6	no
2019/8/3	7	no
2019/8/4	1	no
2019/8/5	2	no
2019/8/6	3	no
2019/8/7	4	no
2019/8/8	5	no
2019/8/9	6	no
2019/8/10	7	no
2019/8/11	1	no
2019/8/12	2	no
2019/8/13	3	no
2019/8/14	4	no
2019/8/15	5	no
2019/8/16	6	no
2019/8/17	7	no
2019/8/18	1	no
2019/8/19	2	no
2019/8/20	3	no
2019/8/21	4	no
2019/8/22	5	no
2019/8/23	6	no
2019/8/24	7	no
2019/8/25	1	no
2019/8/26	2	no
2019/8/27	3	no
2019/8/28	4	no
2019/8/29	5	no
2019/8/30	6	no
2019/8/31	7	no
2019/9/1	1	no
2019/9/2	2	no
2019/9/3	3	no
2019/9/4	4	no
2019/9/5	5	no
2019/9/6	6	no
2019/9/7	7	no
2019/9/8	1	no
2019/9/9	2	no
2019/9/10	3	no
2019/9/11	4	no
2019/9/12	5	no
2019/9/13	6	zhongqiu
2019/9/14	7	zhongqiu
2019/9/15	1	zhongqiu
2019/9/16	2	no
2019/9/17	3	no
2019/9/18	4	no
2019/9/19	5	no
2019/9/20	6	no
2019/9/21	7	no
2019/9/22	1	no
2019/9/23	2	no
2019/9/24	3	no
2019/9/25	4	no
2019/9/26	5	no
2019/9/27	6	no
2019/9/28	7	no
2019/9/29	1	no
2019/9/30	2	no
2019/10/1	3	guoqing
2019/10/2	4	guoqing
2019/10/3	5	guoqing
2019/10/4	6	guoqing
2019/10/5	7	guoqing
2019/10/6	1	guoqing
2019/10/7	2	guoqing
2019/10/8	3	no
2019/10/9	4	no
2019/10/10	5	no
2019/10/11	6	no
2019/10/12	7	no
2019/10/13	1	no
2019/10/14	2	no
2019/10/15	3	no
2019/10/16	4	no
2019/10/17	5	no
2019/10/18	6	no
2019/10/19	7	no
2019/10/20	1	no
2019/10/21	2	no
2019/10/22	3	no
2019/10/23	4	no
2019/10/24	5	no
2019/10/25	6	no
2019/10/26	7	no
2019/10/27	1	no
2019/10/28	2	no
2019/10/29	3	no
2019/10/30	4	no
2019/10/31	5	no
2019/11/1	6	no
2019/11/2	7	no
2019/11/3	1	no
2019/11/4	2	no
2019/11/5	3	no
2019/11/6	4	no
2019/11/7	5	no
2019/11/8	6	no
2019/11/9	7	no
2019/11/10	1	no
2019/11/11	2	no
2019/11/12	3	no
2019/11/13	4	no
2019/11/14	5	no
2019/11/15	6	no
2019/11/16	7	no
2019/11/17	1	no
2019/11/18	2	no
2019/11/19	3	no
2019/11/20	4	no
2019/11/21	5	no
2019/11/22	6	no
2019/11/23	7	no
2019/11/24	1	no
2019/11/25	2	no
2019/11/26	3	no
2019/11/27	4	no
2019/11/28	5	no
2019/11/29	6	no
2019/11/30	7	no
2019/12/1	1	no
2019/12/2	2	no
2019/12/3	3	no
2019/12/4	4	no
2019/12/5	5	no
2019/12/6	6	no
2019/12/7	7	no
2019/12/8	1	no
2019/12/9	2	no
2019/12/10	3	no
2019/12/11	4	no
2019/12/12	5	no
2019/12/13	6	no
2019/12/14	7	no
2019/12/15	1	no
2019/12/16	2	no
2019/12/17	3	no
2019/12/18	4	no
2019/12/19	5	no
2019/12/20	6	no
2019/12/21	7	no
2019/12/22	1	no
2019/12/23	2	no
2019/12/24	3	no
2019/12/25	4	no
2019/12/26	5	no
2019/12/27	6	no
2019/12/28	7	no
2019/12/29	1	no
2019/12/30	2	no
2019/12/31	3	no
